@relation 'mobile_price-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.RenameNominalValues-Rwifi-NYes:yes-weka.filters.unsupervised.attribute.RenameNominalValues-Rwifi-Nhas:yes, YES:yes, Has:yes-weka.filters.unsupervised.attribute.RenameNominalValues-Rwifi-Nnot:no, NO:no, No:no, Not:no-weka.filters.unsupervised.attribute.RenameNominalValues-Rthree_g-Nnot:no, NO:no, No:no, Not:no-weka.filters.unsupervised.attribute.RenameNominalValues-Rthree_g-NYes:yes, Has:yes, YES:yes, has:yes-weka.filters.unsupervised.attribute.RenameNominalValues-Rdual_sim-NYes:yes, Has:yes, YES:yes, has:yes-weka.filters.unsupervised.attribute.RenameNominalValues-Rdual_sim-NYes:yes, Has:yes, YES:yes, has:yes-weka.filters.unsupervised.attribute.RenameNominalValues-Rblue-NYes:yes, Has:yes, YES:yes, has:yes-weka.filters.unsupervised.attribute.RenameNominalValues-Rblue-NNo:no, NO:no, Not:no, not:no-weka.filters.unsupervised.attribute.RenameNominalValues-Rdual_sim-NNo:no, NO:no, Not:no, not:no-weka.filters.unsupervised.attribute.Discretize-B8-M-1.0-R10-precision6-weka.filters.unsupervised.attribute.RenameNominalValues-Rn_cores-N\'\\\'(-inf-1.875]\\\'\':1, \'\\\'(1.875-2.75]\\\'\':2, \'\\\'(2.75-3.625]\\\'\':3,  \'\\\'(3.625-4.5]\\\'\':4, \'\\\'(4.5-5.375]\\\'\':5, \'\\\'(5.375-6.25]\\\'\':6, \'\\\'(6.25-7.125]\\\'\':7, \'\\\'(7.125-inf)\\\'\':8-weka.filters.unsupervised.attribute.RenameNominalValues-Rn_cores-N\'\\\'(-inf-1.875]\\\'\':1, \'\\\'(1.875-2.75]\\\'\':2, \'\\\'(2.75-3.625]\\\'\':3,  \'\\\'(3.625-4.5]\\\'\':4, \'\\\'(4.5-5.375]\\\'\':5, \'\\\'(5.375-6.25]\\\'\':6, \'\\\'(6.25-7.125]\\\'\':7, \'\\\'(7.125-inf)\\\'\':8-weka.filters.unsupervised.attribute.RenameNominalValues-Rn_cores-N\'(-inf-1.875]\':1, \'(1.875-2.75]\':2, \'(2.75-3.625]\':3,  \'(3.625-4.5]\':4, \'(4.5-5.375]\':5, \'(5.375-6.25]\':6, \'(6.25-7.125]\':7, \'(7.125-inf)\':8-weka.filters.unsupervised.attribute.Discretize-B2-M-1.0-R6-precision6-weka.filters.unsupervised.attribute.Discretize-B2-M-1.0-R19-precision6-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-R1-20-precision6-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-P-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-P-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-P-weka.filters.unsupervised.attribute.Remove-R22-25-weka.filters.unsupervised.attribute.InterquartileRange-R1-20-O3.0-E6.0-P-weka.filters.unsupervised.attribute.InterquartileRange-R1-20-O3.0-E6.0-P-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-P-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-weka.filters.unsupervised.attribute.Remove-R22-23-weka.filters.unsupervised.attribute.RenameNominalValues-Rfour_g-N\'(-inf-0.5)\': no, \'(0.5-inf)\':yes-weka.filters.unsupervised.attribute.RenameNominalValues-Rfour_g-N\'(-inf-0.5]\': no, \'(0.5-inf)\':yes-weka.filters.unsupervised.attribute.RenameNominalValues-Rfour_g-N\'(-inf-0.5]\': no, \'(0.5-inf)\':yes-weka.filters.unsupervised.attribute.RenameNominalValues-Rtouch_screen-N\'(-inf-0.5]\': no, \'(0.5-inf)\':yes_clustered-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Remove-R15,18-weka.filters.unsupervised.attribute.Remove-R16-weka.filters.unsupervised.attribute.Remove-R17-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-N10-F1'

@attribute battery_power {'\'(-inf-650.7]\'','\'(650.7-800.4]\'','\'(800.4-950.1]\'','\'(950.1-1099.8]\'','\'(1099.8-1249.5]\'','\'(1249.5-1399.2]\'','\'(1399.2-1548.9]\'','\'(1548.9-1698.6]\'','\'(1698.6-1848.3]\'','\'(1848.3-inf)\''}
@attribute blue {no,yes}
@attribute clock_speed {'\'(-inf-0.75]\'','\'(0.75-1]\'','\'(1-1.25]\'','\'(1.25-1.5]\'','\'(1.5-1.75]\'','\'(1.75-2]\'','\'(2-2.25]\'','\'(2.25-2.5]\'','\'(2.5-2.75]\'','\'(2.75-inf)\''}
@attribute dual_sim {no,yes}
@attribute fc {'\'(-inf-1.9]\'','\'(1.9-3.8]\'','\'(3.8-5.7]\'','\'(5.7-7.6]\'','\'(7.6-9.5]\'','\'(9.5-11.4]\'','\'(11.4-13.3]\'','\'(13.3-15.2]\'','\'(15.2-17.1]\'','\'(17.1-inf)\''}
@attribute four_g {no,yes}
@attribute int_memory {'\'(-inf-8.2]\'','\'(8.2-14.4]\'','\'(14.4-20.6]\'','\'(20.6-26.8]\'','\'(26.8-33]\'','\'(33-39.2]\'','\'(39.2-45.4]\'','\'(45.4-51.6]\'','\'(51.6-57.8]\'','\'(57.8-inf)\''}
@attribute n_cores {1,2,3,4,5,6,7,8}
@attribute pc {'\'(-inf-2]\'','\'(2-4]\'','\'(4-6]\'','\'(6-8]\'','\'(8-10]\'','\'(10-12]\'','\'(12-14]\'','\'(14-16]\'','\'(16-18]\'','\'(18-inf)\''}
@attribute px_height {'\'(-inf-196]\'','\'(196-392]\'','\'(392-588]\'','\'(588-784]\'','\'(784-980]\'','\'(980-1176]\'','\'(1176-1372]\'','\'(1372-1568]\'','\'(1568-1764]\'','\'(1764-inf)\''}
@attribute px_width {'\'(-inf-649.8]\'','\'(649.8-799.6]\'','\'(799.6-949.4]\'','\'(949.4-1099.2]\'','\'(1099.2-1249]\'','\'(1249-1398.8]\'','\'(1398.8-1548.6]\'','\'(1548.6-1698.4]\'','\'(1698.4-1848.2]\'','\'(1848.2-inf)\''}
@attribute ram {'\'(-inf-630.2]\'','\'(630.2-1004.4]\'','\'(1004.4-1378.6]\'','\'(1378.6-1752.8]\'','\'(1752.8-2127]\'','\'(2127-2501.2]\'','\'(2501.2-2875.4]\'','\'(2875.4-3249.6]\'','\'(3249.6-3623.8]\'','\'(3623.8-inf)\''}
@attribute sc_h {'\'(-inf-6.4]\'','\'(6.4-7.8]\'','\'(7.8-9.2]\'','\'(9.2-10.6]\'','\'(10.6-12]\'','\'(12-13.4]\'','\'(13.4-14.8]\'','\'(14.8-16.2]\'','\'(16.2-17.6]\'','\'(17.6-inf)\''}
@attribute sc_w {'\'(-inf-1.8]\'','\'(1.8-3.6]\'','\'(3.6-5.4]\'','\'(5.4-7.2]\'','\'(7.2-9]\'','\'(9-10.8]\'','\'(10.8-12.6]\'','\'(12.6-14.4]\'','\'(14.4-16.2]\'','\'(16.2-inf)\''}
@attribute three_g {no,yes}
@attribute price_category {0,1}

@data
'\'(1249.5-1399.2]\'',yes,'\'(2-2.25]\'',no,'\'(-inf-1.9]\'',yes,'\'(39.2-45.4]\'',7,'\'(-inf-2]\'','\'(196-392]\'','\'(1848.2-inf)\'','\'(2875.4-3249.6]\'','\'(7.8-9.2]\'','\'(7.2-9]\'',yes,1
'\'(1548.9-1698.6]\'',no,'\'(-inf-0.75]\'',yes,'\'(-inf-1.9]\'',yes,'\'(33-39.2]\'',8,'\'(10-12]\'','\'(588-784]\'','\'(1698.4-1848.2]\'','\'(2875.4-3249.6]\'','\'(-inf-6.4]\'','\'(-inf-1.8]\'',yes,1
'\'(1548.9-1698.6]\'',yes,'\'(1.5-1.75]\'',no,'\'(3.8-5.7]\'',yes,'\'(39.2-45.4]\'',3,'\'(8-10]\'','\'(196-392]\'','\'(799.6-949.4]\'','\'(3623.8-inf)\'','\'(13.4-14.8]\'','\'(9-10.8]\'',yes,1
'\'(1698.6-1848.3]\'',no,'\'(2.5-2.75]\'',no,'\'(11.4-13.3]\'',yes,'\'(39.2-45.4]\'',5,'\'(16-18]\'','\'(588-784]\'','\'(1398.8-1548.6]\'','\'(2501.2-2875.4]\'','\'(17.6-inf)\'','\'(7.2-9]\'',yes,1
'\'(800.4-950.1]\'',no,'\'(2.25-2.5]\'',no,'\'(9.5-11.4]\'',yes,'\'(20.6-26.8]\'',4,'\'(14-16]\'','\'(1176-1372]\'','\'(1249-1398.8]\'','\'(3623.8-inf)\'','\'(12-13.4]\'','\'(7.2-9]\'',yes,1
'\'(1548.9-1698.6]\'',no,'\'(-inf-0.75]\'',no,'\'(-inf-1.9]\'',yes,'\'(57.8-inf)\'',1,'\'(12-14]\'','\'(980-1176]\'','\'(1548.6-1698.4]\'','\'(3249.6-3623.8]\'','\'(17.6-inf)\'','\'(-inf-1.8]\'',yes,1
'\'(-inf-650.7]\'',yes,'\'(2.25-2.5]\'',yes,'\'(1.9-3.8]\'',no,'\'(33-39.2]\'',3,'\'(14-16]\'','\'(588-784]\'','\'(949.4-1099.2]\'','\'(3623.8-inf)\'','\'(12-13.4]\'','\'(-inf-1.8]\'',no,1
'\'(650.7-800.4]\'',yes,'\'(1.75-2]\'',yes,'\'(13.3-15.2]\'',no,'\'(33-39.2]\'',4,'\'(18-inf)\'','\'(980-1176]\'','\'(1099.2-1249]\'','\'(3623.8-inf)\'','\'(10.6-12]\'','\'(7.2-9]\'',yes,1
'\'(1848.3-inf)\'',no,'\'(1.25-1.5]\'',yes,'\'(-inf-1.9]\'',no,'\'(20.6-26.8]\'',5,'\'(-inf-2]\'','\'(784-980]\'','\'(1099.2-1249]\'','\'(2127-2501.2]\'','\'(13.4-14.8]\'','\'(7.2-9]\'',yes,1
'\'(1548.9-1698.6]\'',yes,'\'(1.5-1.75]\'',yes,'\'(3.8-5.7]\'',yes,'\'(51.6-57.8]\'',4,'\'(4-6]\'','\'(196-392]\'','\'(649.8-799.6]\'','\'(3623.8-inf)\'','\'(-inf-6.4]\'','\'(1.8-3.6]\'',yes,1
'\'(1698.6-1848.3]\'',no,'\'(-inf-0.75]\'',no,'\'(3.8-5.7]\'',no,'\'(8.2-14.4]\'',6,'\'(10-12]\'','\'(784-980]\'','\'(799.6-949.4]\'','\'(2875.4-3249.6]\'','\'(6.4-7.8]\'','\'(-inf-1.8]\'',yes,1
'\'(1548.9-1698.6]\'',yes,'\'(-inf-0.75]\'',yes,'\'(-inf-1.9]\'',yes,'\'(26.8-33]\'',5,'\'(-inf-2]\'','\'(-inf-196]\'','\'(649.8-799.6]\'','\'(3249.6-3623.8]\'','\'(10.6-12]\'','\'(-inf-1.8]\'',yes,1
'\'(800.4-950.1]\'',no,'\'(1.25-1.5]\'',yes,'\'(1.9-3.8]\'',no,'\'(33-39.2]\'',2,'\'(2-4]\'','\'(392-588]\'','\'(-inf-649.8]\'','\'(3623.8-inf)\'','\'(12-13.4]\'','\'(1.8-3.6]\'',yes,1
'\'(1698.6-1848.3]\'',no,'\'(1.5-1.75]\'',no,'\'(3.8-5.7]\'',yes,'\'(8.2-14.4]\'',8,'\'(8-10]\'','\'(196-392]\'','\'(949.4-1099.2]\'','\'(2875.4-3249.6]\'','\'(12-13.4]\'','\'(7.2-9]\'',yes,1
'\'(650.7-800.4]\'',no,'\'(1-1.25]\'',no,'\'(1.9-3.8]\'',no,'\'(33-39.2]\'',5,'\'(6-8]\'','\'(196-392]\'','\'(1548.6-1698.4]\'','\'(3249.6-3623.8]\'','\'(12-13.4]\'','\'(7.2-9]\'',no,1
'\'(1698.6-1848.3]\'',yes,'\'(2-2.25]\'',yes,'\'(-inf-1.9]\'',yes,'\'(51.6-57.8]\'',4,'\'(2-4]\'','\'(196-392]\'','\'(1398.8-1548.6]\'','\'(2875.4-3249.6]\'','\'(10.6-12]\'','\'(5.4-7.2]\'',yes,1
'\'(1848.3-inf)\'',no,'\'(-inf-0.75]\'',no,'\'(3.8-5.7]\'',no,'\'(26.8-33]\'',8,'\'(16-18]\'','\'(196-392]\'','\'(1099.2-1249]\'','\'(3623.8-inf)\'','\'(6.4-7.8]\'','\'(-inf-1.8]\'',yes,1
'\'(950.1-1099.8]\'',yes,'\'(2.5-2.75]\'',yes,'\'(-inf-1.9]\'',yes,'\'(39.2-45.4]\'',4,'\'(4-6]\'','\'(784-980]\'','\'(949.4-1099.2]\'','\'(2875.4-3249.6]\'','\'(12-13.4]\'','\'(10.8-12.6]\'',yes,1
'\'(1848.3-inf)\'',no,'\'(2.5-2.75]\'',no,'\'(-inf-1.9]\'',yes,'\'(57.8-inf)\'',6,'\'(-inf-2]\'','\'(1372-1568]\'','\'(1848.2-inf)\'','\'(3623.8-inf)\'','\'(9.2-10.6]\'','\'(7.2-9]\'',yes,1
'\'(1848.3-inf)\'',no,'\'(2.5-2.75]\'',yes,'\'(7.6-9.5]\'',no,'\'(-inf-8.2]\'',8,'\'(18-inf)\'','\'(588-784]\'','\'(1848.2-inf)\'','\'(2875.4-3249.6]\'','\'(-inf-6.4]\'','\'(-inf-1.8]\'',yes,1
'\'(950.1-1099.8]\'',yes,'\'(2.75-inf)\'',yes,'\'(-inf-1.9]\'',yes,'\'(57.8-inf)\'',8,'\'(-inf-2]\'','\'(196-392]\'','\'(949.4-1099.2]\'','\'(3623.8-inf)\'','\'(16.2-17.6]\'','\'(10.8-12.6]\'',yes,1
'\'(-inf-650.7]\'',yes,'\'(-inf-0.75]\'',yes,'\'(7.6-9.5]\'',yes,'\'(51.6-57.8]\'',5,'\'(18-inf)\'','\'(980-1176]\'','\'(1698.4-1848.2]\'','\'(2875.4-3249.6]\'','\'(-inf-6.4]\'','\'(-inf-1.8]\'',yes,1
'\'(1399.2-1548.9]\'',yes,'\'(2.75-inf)\'',yes,'\'(-inf-1.9]\'',yes,'\'(14.4-20.6]\'',8,'\'(-inf-2]\'','\'(196-392]\'','\'(1698.4-1848.2]\'','\'(3249.6-3623.8]\'','\'(7.8-9.2]\'','\'(-inf-1.8]\'',yes,1
'\'(1698.6-1848.3]\'',yes,'\'(2.75-inf)\'',no,'\'(1.9-3.8]\'',no,'\'(14.4-20.6]\'',6,'\'(4-6]\'','\'(392-588]\'','\'(-inf-649.8]\'','\'(3623.8-inf)\'','\'(-inf-6.4]\'','\'(-inf-1.8]\'',no,1
'\'(650.7-800.4]\'',yes,'\'(2.5-2.75]\'',no,'\'(1.9-3.8]\'',no,'\'(26.8-33]\'',5,'\'(16-18]\'','\'(-inf-196]\'','\'(1099.2-1249]\'','\'(3623.8-inf)\'','\'(13.4-14.8]\'','\'(9-10.8]\'',yes,1
'\'(1099.8-1249.5]\'',yes,'\'(0.75-1]\'',no,'\'(17.1-inf)\'',no,'\'(-inf-8.2]\'',3,'\'(18-inf)\'','\'(784-980]\'','\'(1099.2-1249]\'','\'(3249.6-3623.8]\'','\'(12-13.4]\'','\'(3.6-5.4]\'',yes,1
'\'(1548.9-1698.6]\'',no,'\'(1.25-1.5]\'',yes,'\'(-inf-1.9]\'',no,'\'(39.2-45.4]\'',2,'\'(-inf-2]\'','\'(1568-1764]\'','\'(1848.2-inf)\'','\'(3249.6-3623.8]\'','\'(6.4-7.8]\'','\'(-inf-1.8]\'',no,1
'\'(1698.6-1848.3]\'',yes,'\'(2.75-inf)\'',no,'\'(1.9-3.8]\'',yes,'\'(33-39.2]\'',6,'\'(18-inf)\'','\'(196-392]\'','\'(-inf-649.8]\'','\'(3249.6-3623.8]\'','\'(16.2-17.6]\'','\'(14.4-16.2]\'',yes,1
'\'(800.4-950.1]\'',no,'\'(-inf-0.75]\'',no,'\'(-inf-1.9]\'',yes,'\'(8.2-14.4]\'',8,'\'(2-4]\'','\'(980-1176]\'','\'(1848.2-inf)\'','\'(3249.6-3623.8]\'','\'(9.2-10.6]\'','\'(7.2-9]\'',yes,1
'\'(1099.8-1249.5]\'',no,'\'(1.25-1.5]\'',yes,'\'(-inf-1.9]\'',yes,'\'(39.2-45.4]\'',4,'\'(-inf-2]\'','\'(196-392]\'','\'(-inf-649.8]\'','\'(3623.8-inf)\'','\'(6.4-7.8]\'','\'(-inf-1.8]\'',yes,1
'\'(950.1-1099.8]\'',no,'\'(1.5-1.75]\'',yes,'\'(1.9-3.8]\'',yes,'\'(57.8-inf)\'',6,'\'(18-inf)\'','\'(980-1176]\'','\'(1698.4-1848.2]\'','\'(2501.2-2875.4]\'','\'(-inf-6.4]\'','\'(1.8-3.6]\'',yes,1
'\'(1399.2-1548.9]\'',no,'\'(-inf-0.75]\'',no,'\'(7.6-9.5]\'',no,'\'(14.4-20.6]\'',3,'\'(8-10]\'','\'(-inf-196]\'','\'(1398.8-1548.6]\'','\'(3249.6-3623.8]\'','\'(12-13.4]\'','\'(10.8-12.6]\'',yes,1
'\'(1848.3-inf)\'',yes,'\'(1.75-2]\'',no,'\'(5.7-7.6]\'',yes,'\'(57.8-inf)\'',8,'\'(6-8]\'','\'(1764-inf)\'','\'(1848.2-inf)\'','\'(3623.8-inf)\'','\'(7.8-9.2]\'','\'(7.2-9]\'',yes,1
'\'(1848.3-inf)\'',yes,'\'(1.75-2]\'',no,'\'(3.8-5.7]\'',no,'\'(33-39.2]\'',3,'\'(12-14]\'','\'(1372-1568]\'','\'(1848.2-inf)\'','\'(2127-2501.2]\'','\'(14.8-16.2]\'','\'(3.6-5.4]\'',no,1
'\'(-inf-650.7]\'',yes,'\'(-inf-0.75]\'',yes,'\'(-inf-1.9]\'',yes,'\'(14.4-20.6]\'',6,'\'(16-18]\'','\'(784-980]\'','\'(1548.6-1698.4]\'','\'(3623.8-inf)\'','\'(-inf-6.4]\'','\'(-inf-1.8]\'',yes,1
'\'(650.7-800.4]\'',yes,'\'(1.25-1.5]\'',no,'\'(3.8-5.7]\'',yes,'\'(26.8-33]\'',8,'\'(6-8]\'','\'(1568-1764]\'','\'(1698.4-1848.2]\'','\'(3623.8-inf)\'','\'(10.6-12]\'','\'(1.8-3.6]\'',yes,1
'\'(1249.5-1399.2]\'',no,'\'(0.75-1]\'',yes,'\'(7.6-9.5]\'',yes,'\'(51.6-57.8]\'',6,'\'(14-16]\'','\'(784-980]\'','\'(949.4-1099.2]\'','\'(3623.8-inf)\'','\'(14.8-16.2]\'','\'(1.8-3.6]\'',yes,1
'\'(1698.6-1848.3]\'',yes,'\'(2.25-2.5]\'',no,'\'(3.8-5.7]\'',no,'\'(39.2-45.4]\'',2,'\'(10-12]\'','\'(980-1176]\'','\'(1249-1398.8]\'','\'(3249.6-3623.8]\'','\'(16.2-17.6]\'','\'(5.4-7.2]\'',yes,1
'\'(1399.2-1548.9]\'',yes,'\'(-inf-0.75]\'',no,'\'(-inf-1.9]\'',yes,'\'(26.8-33]\'',3,'\'(-inf-2]\'','\'(392-588]\'','\'(1548.6-1698.4]\'','\'(3623.8-inf)\'','\'(9.2-10.6]\'','\'(1.8-3.6]\'',yes,1
'\'(950.1-1099.8]\'',yes,'\'(1.25-1.5]\'',no,'\'(7.6-9.5]\'',no,'\'(39.2-45.4]\'',7,'\'(8-10]\'','\'(196-392]\'','\'(-inf-649.8]\'','\'(3623.8-inf)\'','\'(6.4-7.8]\'','\'(5.4-7.2]\'',no,1
'\'(1548.9-1698.6]\'',yes,'\'(1.25-1.5]\'',yes,'\'(-inf-1.9]\'',yes,'\'(39.2-45.4]\'',2,'\'(-inf-2]\'','\'(392-588]\'','\'(-inf-649.8]\'','\'(2875.4-3249.6]\'','\'(10.6-12]\'','\'(3.6-5.4]\'',yes,1
'\'(1698.6-1848.3]\'',yes,'\'(1.25-1.5]\'',no,'\'(-inf-1.9]\'',yes,'\'(20.6-26.8]\'',7,'\'(-inf-2]\'','\'(196-392]\'','\'(949.4-1099.2]\'','\'(3623.8-inf)\'','\'(7.8-9.2]\'','\'(-inf-1.8]\'',yes,1
