@relation 'mobile_price-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.RenameNominalValues-Rwifi-NYes:yes-weka.filters.unsupervised.attribute.RenameNominalValues-Rwifi-Nhas:yes, YES:yes, Has:yes-weka.filters.unsupervised.attribute.RenameNominalValues-Rwifi-Nnot:no, NO:no, No:no, Not:no-weka.filters.unsupervised.attribute.RenameNominalValues-Rthree_g-Nnot:no, NO:no, No:no, Not:no-weka.filters.unsupervised.attribute.RenameNominalValues-Rthree_g-NYes:yes, Has:yes, YES:yes, has:yes-weka.filters.unsupervised.attribute.RenameNominalValues-Rdual_sim-NYes:yes, Has:yes, YES:yes, has:yes-weka.filters.unsupervised.attribute.RenameNominalValues-Rdual_sim-NYes:yes, Has:yes, YES:yes, has:yes-weka.filters.unsupervised.attribute.RenameNominalValues-Rblue-NYes:yes, Has:yes, YES:yes, has:yes-weka.filters.unsupervised.attribute.RenameNominalValues-Rblue-NNo:no, NO:no, Not:no, not:no-weka.filters.unsupervised.attribute.RenameNominalValues-Rdual_sim-NNo:no, NO:no, Not:no, not:no-weka.filters.unsupervised.attribute.Discretize-B8-M-1.0-R10-precision6-weka.filters.unsupervised.attribute.RenameNominalValues-Rn_cores-N\'\\\'(-inf-1.875]\\\'\':1, \'\\\'(1.875-2.75]\\\'\':2, \'\\\'(2.75-3.625]\\\'\':3,  \'\\\'(3.625-4.5]\\\'\':4, \'\\\'(4.5-5.375]\\\'\':5, \'\\\'(5.375-6.25]\\\'\':6, \'\\\'(6.25-7.125]\\\'\':7, \'\\\'(7.125-inf)\\\'\':8-weka.filters.unsupervised.attribute.RenameNominalValues-Rn_cores-N\'\\\'(-inf-1.875]\\\'\':1, \'\\\'(1.875-2.75]\\\'\':2, \'\\\'(2.75-3.625]\\\'\':3,  \'\\\'(3.625-4.5]\\\'\':4, \'\\\'(4.5-5.375]\\\'\':5, \'\\\'(5.375-6.25]\\\'\':6, \'\\\'(6.25-7.125]\\\'\':7, \'\\\'(7.125-inf)\\\'\':8-weka.filters.unsupervised.attribute.RenameNominalValues-Rn_cores-N\'(-inf-1.875]\':1, \'(1.875-2.75]\':2, \'(2.75-3.625]\':3,  \'(3.625-4.5]\':4, \'(4.5-5.375]\':5, \'(5.375-6.25]\':6, \'(6.25-7.125]\':7, \'(7.125-inf)\':8-weka.filters.unsupervised.attribute.Discretize-B2-M-1.0-R6-precision6-weka.filters.unsupervised.attribute.Discretize-B2-M-1.0-R19-precision6-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-R1-20-precision6-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-P-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-P-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-P-weka.filters.unsupervised.attribute.Remove-R22-25-weka.filters.unsupervised.attribute.InterquartileRange-R1-20-O3.0-E6.0-P-weka.filters.unsupervised.attribute.InterquartileRange-R1-20-O3.0-E6.0-P-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-P-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-weka.filters.unsupervised.attribute.Remove-R22-23-weka.filters.unsupervised.attribute.RenameNominalValues-Rfour_g-N\'(-inf-0.5)\': no, \'(0.5-inf)\':yes-weka.filters.unsupervised.attribute.RenameNominalValues-Rfour_g-N\'(-inf-0.5]\': no, \'(0.5-inf)\':yes-weka.filters.unsupervised.attribute.RenameNominalValues-Rfour_g-N\'(-inf-0.5]\': no, \'(0.5-inf)\':yes-weka.filters.unsupervised.attribute.RenameNominalValues-Rtouch_screen-N\'(-inf-0.5]\': no, \'(0.5-inf)\':yes_clustered'

@attribute Instance_number numeric
@attribute battery_power {'\'(-inf-650.7]\'','\'(650.7-800.4]\'','\'(800.4-950.1]\'','\'(950.1-1099.8]\'','\'(1099.8-1249.5]\'','\'(1249.5-1399.2]\'','\'(1399.2-1548.9]\'','\'(1548.9-1698.6]\'','\'(1698.6-1848.3]\'','\'(1848.3-inf)\''}
@attribute blue {no,yes}
@attribute clock_speed {'\'(-inf-0.75]\'','\'(0.75-1]\'','\'(1-1.25]\'','\'(1.25-1.5]\'','\'(1.5-1.75]\'','\'(1.75-2]\'','\'(2-2.25]\'','\'(2.25-2.5]\'','\'(2.5-2.75]\'','\'(2.75-inf)\''}
@attribute dual_sim {no,yes}
@attribute fc {'\'(-inf-1.9]\'','\'(1.9-3.8]\'','\'(3.8-5.7]\'','\'(5.7-7.6]\'','\'(7.6-9.5]\'','\'(9.5-11.4]\'','\'(11.4-13.3]\'','\'(13.3-15.2]\'','\'(15.2-17.1]\'','\'(17.1-inf)\''}
@attribute four_g {no,yes}
@attribute int_memory {'\'(-inf-8.2]\'','\'(8.2-14.4]\'','\'(14.4-20.6]\'','\'(20.6-26.8]\'','\'(26.8-33]\'','\'(33-39.2]\'','\'(39.2-45.4]\'','\'(45.4-51.6]\'','\'(51.6-57.8]\'','\'(57.8-inf)\''}
@attribute m_dep {'\'(-inf-0.19]\'','\'(0.19-0.28]\'','\'(0.28-0.37]\'','\'(0.37-0.46]\'','\'(0.46-0.55]\'','\'(0.55-0.64]\'','\'(0.64-0.73]\'','\'(0.73-0.82]\'','\'(0.82-0.91]\'','\'(0.91-inf)\''}
@attribute mobile_wt {'\'(-inf-92]\'','\'(92-104]\'','\'(104-116]\'','\'(116-128]\'','\'(128-140]\'','\'(140-152]\'','\'(152-164]\'','\'(164-176]\'','\'(176-188]\'','\'(188-inf)\''}
@attribute n_cores {1,2,3,4,5,6,7,8}
@attribute pc {'\'(-inf-2]\'','\'(2-4]\'','\'(4-6]\'','\'(6-8]\'','\'(8-10]\'','\'(10-12]\'','\'(12-14]\'','\'(14-16]\'','\'(16-18]\'','\'(18-inf)\''}
@attribute px_height {'\'(-inf-196]\'','\'(196-392]\'','\'(392-588]\'','\'(588-784]\'','\'(784-980]\'','\'(980-1176]\'','\'(1176-1372]\'','\'(1372-1568]\'','\'(1568-1764]\'','\'(1764-inf)\''}
@attribute px_width {'\'(-inf-649.8]\'','\'(649.8-799.6]\'','\'(799.6-949.4]\'','\'(949.4-1099.2]\'','\'(1099.2-1249]\'','\'(1249-1398.8]\'','\'(1398.8-1548.6]\'','\'(1548.6-1698.4]\'','\'(1698.4-1848.2]\'','\'(1848.2-inf)\''}
@attribute ram {'\'(-inf-630.2]\'','\'(630.2-1004.4]\'','\'(1004.4-1378.6]\'','\'(1378.6-1752.8]\'','\'(1752.8-2127]\'','\'(2127-2501.2]\'','\'(2501.2-2875.4]\'','\'(2875.4-3249.6]\'','\'(3249.6-3623.8]\'','\'(3623.8-inf)\''}
@attribute sc_h {'\'(-inf-6.4]\'','\'(6.4-7.8]\'','\'(7.8-9.2]\'','\'(9.2-10.6]\'','\'(10.6-12]\'','\'(12-13.4]\'','\'(13.4-14.8]\'','\'(14.8-16.2]\'','\'(16.2-17.6]\'','\'(17.6-inf)\''}
@attribute sc_w {'\'(-inf-1.8]\'','\'(1.8-3.6]\'','\'(3.6-5.4]\'','\'(5.4-7.2]\'','\'(7.2-9]\'','\'(9-10.8]\'','\'(10.8-12.6]\'','\'(12.6-14.4]\'','\'(14.4-16.2]\'','\'(16.2-inf)\''}
@attribute talk_time {'\'(-inf-3.8]\'','\'(3.8-5.6]\'','\'(5.6-7.4]\'','\'(7.4-9.2]\'','\'(9.2-11]\'','\'(11-12.8]\'','\'(12.8-14.6]\'','\'(14.6-16.4]\'','\'(16.4-18.2]\'','\'(18.2-inf)\''}
@attribute three_g {no,yes}
@attribute touch_screen {no,yes}
@attribute wifi {yes,no}
@attribute price_category {0,1}
@attribute Cluster {cluster0,cluster1}

@data
1680,'\'(1698.6-1848.3]\'',yes,'\'(-inf-0.75]\'',yes,'\'(3.8-5.7]\'',yes,'\'(45.4-51.6]\'','\'(0.55-0.64]\'','\'(164-176]\'',8,'\'(4-6]\'','\'(784-980]\'','\'(1548.6-1698.4]\'','\'(1378.6-1752.8]\'','\'(16.2-17.6]\'','\'(7.2-9]\'','\'(16.4-18.2]\'',yes,yes,no,0,cluster1
1681,'\'(800.4-950.1]\'',yes,'\'(-inf-0.75]\'',yes,'\'(-inf-1.9]\'',no,'\'(33-39.2]\'','\'(0.19-0.28]\'','\'(116-128]\'',4,'\'(-inf-2]\'','\'(196-392]\'','\'(799.6-949.4]\'','\'(2127-2501.2]\'','\'(-inf-6.4]\'','\'(3.6-5.4]\'','\'(3.8-5.6]\'',no,no,no,0,cluster1
1682,'\'(1848.3-inf)\'',yes,'\'(2.75-inf)\'',yes,'\'(-inf-1.9]\'',yes,'\'(-inf-8.2]\'','\'(-inf-0.19]\'','\'(128-140]\'',5,'\'(2-4]\'','\'(784-980]\'','\'(949.4-1099.2]\'','\'(1004.4-1378.6]\'','\'(16.2-17.6]\'','\'(12.6-14.4]\'','\'(14.6-16.4]\'',yes,no,no,0,cluster1
1683,'\'(950.1-1099.8]\'',yes,'\'(1.75-2]\'',no,'\'(1.9-3.8]\'',no,'\'(39.2-45.4]\'','\'(0.64-0.73]\'','\'(152-164]\'',5,'\'(4-6]\'','\'(784-980]\'','\'(1099.2-1249]\'','\'(1378.6-1752.8]\'','\'(17.6-inf)\'','\'(1.8-3.6]\'','\'(9.2-11]\'',no,no,yes,0,cluster1
1684,'\'(950.1-1099.8]\'',no,'\'(-inf-0.75]\'',yes,'\'(13.3-15.2]\'',yes,'\'(45.4-51.6]\'','\'(0.28-0.37]\'','\'(176-188]\'',2,'\'(14-16]\'','\'(392-588]\'','\'(1099.2-1249]\'','\'(3623.8-inf)\'','\'(10.6-12]\'','\'(3.6-5.4]\'','\'(18.2-inf)\'',yes,no,no,1,cluster1
1685,'\'(1399.2-1548.9]\'',yes,'\'(1.5-1.75]\'',no,'\'(3.8-5.7]\'',yes,'\'(57.8-inf)\'','\'(0.28-0.37]\'','\'(140-152]\'',1,'\'(8-10]\'','\'(588-784]\'','\'(1548.6-1698.4]\'','\'(3249.6-3623.8]\'','\'(-inf-6.4]\'','\'(1.8-3.6]\'','\'(18.2-inf)\'',yes,no,no,1,cluster1
1686,'\'(1249.5-1399.2]\'',yes,'\'(2.75-inf)\'',yes,'\'(11.4-13.3]\'',yes,'\'(-inf-8.2]\'','\'(0.91-inf)\'','\'(-inf-92]\'',4,'\'(16-18]\'','\'(-inf-196]\'','\'(-inf-649.8]\'','\'(3249.6-3623.8]\'','\'(16.2-17.6]\'','\'(14.4-16.2]\'','\'(16.4-18.2]\'',yes,no,no,1,cluster1
1687,'\'(-inf-650.7]\'',no,'\'(1.75-2]\'',no,'\'(3.8-5.7]\'',no,'\'(20.6-26.8]\'','\'(0.19-0.28]\'','\'(188-inf)\'',8,'\'(18-inf)\'','\'(392-588]\'','\'(1698.4-1848.2]\'','\'(-inf-630.2]\'','\'(7.8-9.2]\'','\'(1.8-3.6]\'','\'(3.8-5.6]\'',no,no,no,0,cluster1
1688,'\'(650.7-800.4]\'',yes,'\'(1.75-2]\'',no,'\'(11.4-13.3]\'',yes,'\'(33-39.2]\'','\'(0.37-0.46]\'','\'(140-152]\'',6,'\'(12-14]\'','\'(980-1176]\'','\'(1548.6-1698.4]\'','\'(3249.6-3623.8]\'','\'(17.6-inf)\'','\'(16.2-inf)\'','\'(3.8-5.6]\'',yes,no,yes,1,cluster1
1689,'\'(1099.8-1249.5]\'',no,'\'(1.5-1.75]\'',yes,'\'(3.8-5.7]\'',no,'\'(-inf-8.2]\'','\'(0.28-0.37]\'','\'(164-176]\'',6,'\'(6-8]\'','\'(1372-1568]\'','\'(1548.6-1698.4]\'','\'(1752.8-2127]\'','\'(7.8-9.2]\'','\'(1.8-3.6]\'','\'(3.8-5.6]\'',no,no,no,0,cluster1
1690,'\'(1548.9-1698.6]\'',yes,'\'(-inf-0.75]\'',yes,'\'(-inf-1.9]\'',yes,'\'(26.8-33]\'','\'(0.82-0.91]\'','\'(188-inf)\'',5,'\'(-inf-2]\'','\'(-inf-196]\'','\'(649.8-799.6]\'','\'(3249.6-3623.8]\'','\'(10.6-12]\'','\'(-inf-1.8]\'','\'(-inf-3.8]\'',yes,no,no,1,cluster0
1691,'\'(1548.9-1698.6]\'',yes,'\'(-inf-0.75]\'',yes,'\'(-inf-1.9]\'',yes,'\'(14.4-20.6]\'','\'(0.46-0.55]\'','\'(104-116]\'',2,'\'(6-8]\'','\'(392-588]\'','\'(1099.2-1249]\'','\'(1378.6-1752.8]\'','\'(16.2-17.6]\'','\'(1.8-3.6]\'','\'(9.2-11]\'',yes,no,yes,0,cluster0
1692,'\'(1848.3-inf)\'',no,'\'(-inf-0.75]\'',no,'\'(5.7-7.6]\'',yes,'\'(51.6-57.8]\'','\'(0.37-0.46]\'','\'(152-164]\'',1,'\'(12-14]\'','\'(1372-1568]\'','\'(1698.4-1848.2]\'','\'(2875.4-3249.6]\'','\'(6.4-7.8]\'','\'(5.4-7.2]\'','\'(-inf-3.8]\'',yes,no,no,1,cluster1
1693,'\'(650.7-800.4]\'',no,'\'(-inf-0.75]\'',no,'\'(17.1-inf)\'',yes,'\'(8.2-14.4]\'','\'(0.55-0.64]\'','\'(188-inf)\'',2,'\'(18-inf)\'','\'(1568-1764]\'','\'(1698.4-1848.2]\'','\'(2501.2-2875.4]\'','\'(14.8-16.2]\'','\'(12.6-14.4]\'','\'(5.6-7.4]\'',yes,yes,yes,0,cluster0
1694,'\'(1399.2-1548.9]\'',no,'\'(-inf-0.75]\'',yes,'\'(-inf-1.9]\'',yes,'\'(51.6-57.8]\'','\'(0.46-0.55]\'','\'(104-116]\'',1,'\'(10-12]\'','\'(196-392]\'','\'(949.4-1099.2]\'','\'(1378.6-1752.8]\'','\'(7.8-9.2]\'','\'(3.6-5.4]\'','\'(3.8-5.6]\'',yes,yes,yes,0,cluster0
1695,'\'(1399.2-1548.9]\'',no,'\'(2-2.25]\'',yes,'\'(3.8-5.7]\'',yes,'\'(26.8-33]\'','\'(0.37-0.46]\'','\'(128-140]\'',7,'\'(8-10]\'','\'(1764-inf)\'','\'(1848.2-inf)\'','\'(1378.6-1752.8]\'','\'(17.6-inf)\'','\'(3.6-5.4]\'','\'(3.8-5.6]\'',yes,no,no,0,cluster0
1696,'\'(1848.3-inf)\'',no,'\'(1-1.25]\'',no,'\'(3.8-5.7]\'',yes,'\'(45.4-51.6]\'','\'(0.46-0.55]\'','\'(116-128]\'',4,'\'(4-6]\'','\'(1372-1568]\'','\'(1698.4-1848.2]\'','\'(2127-2501.2]\'','\'(9.2-10.6]\'','\'(3.6-5.4]\'','\'(14.6-16.4]\'',yes,no,yes,1,cluster0
1697,'\'(1099.8-1249.5]\'',yes,'\'(2-2.25]\'',yes,'\'(-inf-1.9]\'',yes,'\'(20.6-26.8]\'','\'(0.28-0.37]\'','\'(-inf-92]\'',2,'\'(-inf-2]\'','\'(1176-1372]\'','\'(1548.6-1698.4]\'','\'(3249.6-3623.8]\'','\'(14.8-16.2]\'','\'(1.8-3.6]\'','\'(7.4-9.2]\'',yes,no,yes,1,cluster1
1698,'\'(1548.9-1698.6]\'',yes,'\'(0.75-1]\'',no,'\'(1.9-3.8]\'',no,'\'(14.4-20.6]\'','\'(0.82-0.91]\'','\'(116-128]\'',6,'\'(8-10]\'','\'(784-980]\'','\'(1099.2-1249]\'','\'(-inf-630.2]\'','\'(6.4-7.8]\'','\'(3.6-5.4]\'','\'(14.6-16.4]\'',yes,no,yes,0,cluster1
1699,'\'(950.1-1099.8]\'',yes,'\'(1.75-2]\'',no,'\'(-inf-1.9]\'',no,'\'(39.2-45.4]\'','\'(0.64-0.73]\'','\'(176-188]\'',7,'\'(6-8]\'','\'(784-980]\'','\'(949.4-1099.2]\'','\'(1004.4-1378.6]\'','\'(17.6-inf)\'','\'(12.6-14.4]\'','\'(16.4-18.2]\'',yes,yes,no,0,cluster0
1700,'\'(650.7-800.4]\'',yes,'\'(-inf-0.75]\'',no,'\'(-inf-1.9]\'',yes,'\'(33-39.2]\'','\'(0.64-0.73]\'','\'(128-140]\'',3,'\'(-inf-2]\'','\'(980-1176]\'','\'(1249-1398.8]\'','\'(-inf-630.2]\'','\'(7.8-9.2]\'','\'(-inf-1.8]\'','\'(5.6-7.4]\'',yes,yes,yes,0,cluster0
1701,'\'(1249.5-1399.2]\'',yes,'\'(2-2.25]\'',yes,'\'(1.9-3.8]\'',yes,'\'(26.8-33]\'','\'(0.37-0.46]\'','\'(164-176]\'',3,'\'(8-10]\'','\'(784-980]\'','\'(1249-1398.8]\'','\'(2501.2-2875.4]\'','\'(-inf-6.4]\'','\'(3.6-5.4]\'','\'(14.6-16.4]\'',yes,no,no,0,cluster1
1702,'\'(1399.2-1548.9]\'',yes,'\'(2.75-inf)\'',yes,'\'(-inf-1.9]\'',no,'\'(14.4-20.6]\'','\'(0.55-0.64]\'','\'(176-188]\'',5,'\'(-inf-2]\'','\'(-inf-196]\'','\'(1099.2-1249]\'','\'(2501.2-2875.4]\'','\'(14.8-16.2]\'','\'(-inf-1.8]\'','\'(18.2-inf)\'',yes,no,no,0,cluster0
1703,'\'(800.4-950.1]\'',no,'\'(1.25-1.5]\'',yes,'\'(7.6-9.5]\'',no,'\'(26.8-33]\'','\'(0.46-0.55]\'','\'(-inf-92]\'',4,'\'(8-10]\'','\'(588-784]\'','\'(1398.8-1548.6]\'','\'(-inf-630.2]\'','\'(-inf-6.4]\'','\'(1.8-3.6]\'','\'(12.8-14.6]\'',no,yes,yes,0,cluster0
1704,'\'(1848.3-inf)\'',yes,'\'(2.5-2.75]\'',no,'\'(7.6-9.5]\'',yes,'\'(-inf-8.2]\'','\'(-inf-0.19]\'','\'(116-128]\'',4,'\'(14-16]\'','\'(196-392]\'','\'(1099.2-1249]\'','\'(2127-2501.2]\'','\'(17.6-inf)\'','\'(-inf-1.8]\'','\'(7.4-9.2]\'',yes,no,yes,0,cluster0
1705,'\'(1249.5-1399.2]\'',yes,'\'(1.25-1.5]\'',yes,'\'(17.1-inf)\'',yes,'\'(33-39.2]\'','\'(0.28-0.37]\'','\'(104-116]\'',4,'\'(18-inf)\'','\'(392-588]\'','\'(649.8-799.6]\'','\'(630.2-1004.4]\'','\'(14.8-16.2]\'','\'(1.8-3.6]\'','\'(7.4-9.2]\'',yes,no,no,0,cluster1
1706,'\'(800.4-950.1]\'',no,'\'(2-2.25]\'',yes,'\'(-inf-1.9]\'',no,'\'(51.6-57.8]\'','\'(0.82-0.91]\'','\'(-inf-92]\'',1,'\'(12-14]\'','\'(1568-1764]\'','\'(1698.4-1848.2]\'','\'(1378.6-1752.8]\'','\'(6.4-7.8]\'','\'(-inf-1.8]\'','\'(7.4-9.2]\'',no,yes,no,0,cluster0
1707,'\'(1698.6-1848.3]\'',yes,'\'(-inf-0.75]\'',no,'\'(15.2-17.1]\'',no,'\'(20.6-26.8]\'','\'(-inf-0.19]\'','\'(152-164]\'',4,'\'(18-inf)\'','\'(-inf-196]\'','\'(949.4-1099.2]\'','\'(1004.4-1378.6]\'','\'(14.8-16.2]\'','\'(-inf-1.8]\'','\'(16.4-18.2]\'',yes,yes,no,0,cluster1
1708,'\'(1848.3-inf)\'',yes,'\'(-inf-0.75]\'',no,'\'(-inf-1.9]\'',no,'\'(26.8-33]\'','\'(0.46-0.55]\'','\'(176-188]\'',7,'\'(10-12]\'','\'(784-980]\'','\'(1848.2-inf)\'','\'(3249.6-3623.8]\'','\'(13.4-14.8]\'','\'(3.6-5.4]\'','\'(14.6-16.4]\'',yes,no,yes,1,cluster0
1709,'\'(1848.3-inf)\'',no,'\'(-inf-0.75]\'',no,'\'(13.3-15.2]\'',yes,'\'(39.2-45.4]\'','\'(0.55-0.64]\'','\'(152-164]\'',8,'\'(14-16]\'','\'(588-784]\'','\'(1848.2-inf)\'','\'(3249.6-3623.8]\'','\'(10.6-12]\'','\'(-inf-1.8]\'','\'(16.4-18.2]\'',yes,no,no,1,cluster1
1710,'\'(-inf-650.7]\'',no,'\'(0.75-1]\'',yes,'\'(-inf-1.9]\'',yes,'\'(51.6-57.8]\'','\'(0.37-0.46]\'','\'(140-152]\'',4,'\'(12-14]\'','\'(588-784]\'','\'(1548.6-1698.4]\'','\'(-inf-630.2]\'','\'(16.2-17.6]\'','\'(12.6-14.4]\'','\'(7.4-9.2]\'',yes,yes,yes,0,cluster0
1711,'\'(800.4-950.1]\'',yes,'\'(-inf-0.75]\'',no,'\'(-inf-1.9]\'',yes,'\'(45.4-51.6]\'','\'(0.19-0.28]\'','\'(-inf-92]\'',4,'\'(-inf-2]\'','\'(980-1176]\'','\'(1249-1398.8]\'','\'(1378.6-1752.8]\'','\'(10.6-12]\'','\'(9-10.8]\'','\'(9.2-11]\'',yes,yes,no,0,cluster1
1712,'\'(1698.6-1848.3]\'',yes,'\'(-inf-0.75]\'',no,'\'(7.6-9.5]\'',no,'\'(8.2-14.4]\'','\'(0.55-0.64]\'','\'(176-188]\'',8,'\'(10-12]\'','\'(784-980]\'','\'(1548.6-1698.4]\'','\'(1752.8-2127]\'','\'(10.6-12]\'','\'(5.4-7.2]\'','\'(5.6-7.4]\'',no,no,yes,0,cluster1
1713,'\'(950.1-1099.8]\'',yes,'\'(1.25-1.5]\'',yes,'\'(1.9-3.8]\'',yes,'\'(45.4-51.6]\'','\'(0.73-0.82]\'','\'(152-164]\'',5,'\'(8-10]\'','\'(196-392]\'','\'(-inf-649.8]\'','\'(1004.4-1378.6]\'','\'(14.8-16.2]\'','\'(7.2-9]\'','\'(3.8-5.6]\'',yes,yes,yes,0,cluster1
1714,'\'(1548.9-1698.6]\'',no,'\'(2.75-inf)\'',no,'\'(9.5-11.4]\'',yes,'\'(-inf-8.2]\'','\'(0.73-0.82]\'','\'(128-140]\'',8,'\'(10-12]\'','\'(-inf-196]\'','\'(-inf-649.8]\'','\'(2875.4-3249.6]\'','\'(14.8-16.2]\'','\'(1.8-3.6]\'','\'(16.4-18.2]\'',yes,yes,no,0,cluster1
1715,'\'(1848.3-inf)\'',no,'\'(0.75-1]\'',yes,'\'(3.8-5.7]\'',yes,'\'(-inf-8.2]\'','\'(0.19-0.28]\'','\'(-inf-92]\'',8,'\'(18-inf)\'','\'(196-392]\'','\'(649.8-799.6]\'','\'(-inf-630.2]\'','\'(14.8-16.2]\'','\'(5.4-7.2]\'','\'(5.6-7.4]\'',yes,yes,no,0,cluster1
1716,'\'(800.4-950.1]\'',no,'\'(1.75-2]\'',no,'\'(-inf-1.9]\'',no,'\'(-inf-8.2]\'','\'(0.55-0.64]\'','\'(188-inf)\'',7,'\'(2-4]\'','\'(392-588]\'','\'(-inf-649.8]\'','\'(2875.4-3249.6]\'','\'(17.6-inf)\'','\'(-inf-1.8]\'','\'(11-12.8]\'',no,no,yes,0,cluster0
1717,'\'(1249.5-1399.2]\'',yes,'\'(2.5-2.75]\'',yes,'\'(-inf-1.9]\'',no,'\'(-inf-8.2]\'','\'(0.64-0.73]\'','\'(188-inf)\'',4,'\'(-inf-2]\'','\'(-inf-196]\'','\'(949.4-1099.2]\'','\'(2875.4-3249.6]\'','\'(9.2-10.6]\'','\'(-inf-1.8]\'','\'(18.2-inf)\'',no,yes,no,0,cluster0
1718,'\'(-inf-650.7]\'',yes,'\'(0.75-1]\'',yes,'\'(1.9-3.8]\'',no,'\'(26.8-33]\'','\'(0.55-0.64]\'','\'(188-inf)\'',4,'\'(4-6]\'','\'(980-1176]\'','\'(1249-1398.8]\'','\'(2501.2-2875.4]\'','\'(14.8-16.2]\'','\'(9-10.8]\'','\'(5.6-7.4]\'',no,no,no,0,cluster1
1719,'\'(800.4-950.1]\'',yes,'\'(-inf-0.75]\'',yes,'\'(-inf-1.9]\'',yes,'\'(26.8-33]\'','\'(0.28-0.37]\'','\'(140-152]\'',4,'\'(-inf-2]\'','\'(588-784]\'','\'(1249-1398.8]\'','\'(-inf-630.2]\'','\'(17.6-inf)\'','\'(7.2-9]\'','\'(18.2-inf)\'',yes,no,yes,0,cluster0
1720,'\'(1099.8-1249.5]\'',no,'\'(2.25-2.5]\'',no,'\'(5.7-7.6]\'',yes,'\'(8.2-14.4]\'','\'(0.37-0.46]\'','\'(-inf-92]\'',3,'\'(6-8]\'','\'(-inf-196]\'','\'(1548.6-1698.4]\'','\'(2127-2501.2]\'','\'(7.8-9.2]\'','\'(7.2-9]\'','\'(12.8-14.6]\'',yes,yes,no,0,cluster0
1721,'\'(1099.8-1249.5]\'',yes,'\'(0.75-1]\'',no,'\'(5.7-7.6]\'',no,'\'(26.8-33]\'','\'(0.91-inf)\'','\'(140-152]\'',4,'\'(18-inf)\'','\'(588-784]\'','\'(1099.2-1249]\'','\'(630.2-1004.4]\'','\'(16.2-17.6]\'','\'(12.6-14.4]\'','\'(14.6-16.4]\'',no,yes,yes,0,cluster0
1722,'\'(1698.6-1848.3]\'',yes,'\'(2.25-2.5]\'',no,'\'(1.9-3.8]\'',yes,'\'(39.2-45.4]\'','\'(0.19-0.28]\'','\'(140-152]\'',7,'\'(12-14]\'','\'(392-588]\'','\'(1099.2-1249]\'','\'(2127-2501.2]\'','\'(9.2-10.6]\'','\'(3.6-5.4]\'','\'(16.4-18.2]\'',yes,no,no,0,cluster1
1723,'\'(950.1-1099.8]\'',no,'\'(2.5-2.75]\'',yes,'\'(5.7-7.6]\'',no,'\'(26.8-33]\'','\'(-inf-0.19]\'','\'(140-152]\'',1,'\'(8-10]\'','\'(-inf-196]\'','\'(1099.2-1249]\'','\'(1004.4-1378.6]\'','\'(17.6-inf)\'','\'(14.4-16.2]\'','\'(16.4-18.2]\'',yes,no,yes,0,cluster0
1724,'\'(950.1-1099.8]\'',yes,'\'(1.75-2]\'',yes,'\'(1.9-3.8]\'',yes,'\'(-inf-8.2]\'','\'(0.82-0.91]\'','\'(128-140]\'',5,'\'(2-4]\'','\'(392-588]\'','\'(949.4-1099.2]\'','\'(2501.2-2875.4]\'','\'(14.8-16.2]\'','\'(10.8-12.6]\'','\'(11-12.8]\'',yes,yes,no,0,cluster1
1725,'\'(1099.8-1249.5]\'',yes,'\'(-inf-0.75]\'',yes,'\'(1.9-3.8]\'',no,'\'(20.6-26.8]\'','\'(-inf-0.19]\'','\'(176-188]\'',2,'\'(18-inf)\'','\'(392-588]\'','\'(949.4-1099.2]\'','\'(1752.8-2127]\'','\'(14.8-16.2]\'','\'(7.2-9]\'','\'(-inf-3.8]\'',yes,no,yes,0,cluster1
1726,'\'(950.1-1099.8]\'',yes,'\'(2.5-2.75]\'',yes,'\'(1.9-3.8]\'',no,'\'(14.4-20.6]\'','\'(0.82-0.91]\'','\'(152-164]\'',2,'\'(6-8]\'','\'(1372-1568]\'','\'(1698.4-1848.2]\'','\'(2501.2-2875.4]\'','\'(10.6-12]\'','\'(7.2-9]\'','\'(5.6-7.4]\'',yes,no,no,0,cluster1
1727,'\'(1548.9-1698.6]\'',no,'\'(1.25-1.5]\'',no,'\'(3.8-5.7]\'',yes,'\'(20.6-26.8]\'','\'(-inf-0.19]\'','\'(128-140]\'',6,'\'(14-16]\'','\'(-inf-196]\'','\'(1099.2-1249]\'','\'(3623.8-inf)\'','\'(12-13.4]\'','\'(1.8-3.6]\'','\'(12.8-14.6]\'',yes,yes,no,1,cluster1
1728,'\'(950.1-1099.8]\'',no,'\'(2.75-inf)\'',yes,'\'(-inf-1.9]\'',yes,'\'(20.6-26.8]\'','\'(-inf-0.19]\'','\'(152-164]\'',5,'\'(2-4]\'','\'(588-784]\'','\'(1698.4-1848.2]\'','\'(1004.4-1378.6]\'','\'(14.8-16.2]\'','\'(12.6-14.4]\'','\'(18.2-inf)\'',yes,no,yes,0,cluster0
